date,spy_target,tlt_target,spy_change,tlt_change,turnover
2023-06-22,0.95,0.050000000000000044,0.0,0.0,0.0007200379136638388
2023-06-23,0.9386852323460241,0.06131476765397592,-0.011314767653975877,0.011314767653975877,0.02411493541657008
2023-06-26,0.95,0.050000000000000044,0.011314767653975877,-0.011314767653975877,0.024660593885564158
2023-06-27,0.95,0.050000000000000044,0.0,0.0,0.0004911442558004769
2023-06-28,0.95,0.050000000000000044,0.0,0.0,0.0012763537991427668
2023-06-29,0.95,0.050000000000000044,0.0,0.0,0.0003569896460458577
2023-06-30,0.95,0.050000000000000044,0.0,0.0,0.0020831145674184703
2023-07-03,0.95,0.050000000000000044,0.0,0.0,5.583761203339921e-07
2023-07-05,0.8785031705620762,0.12149682943792384,-0.07149682943792379,0.07149682943792379,0.14364098251322455
2023-07-06,0.8238940811291263,0.17610591887087368,-0.05460908943294984,0.05460908943294984,0.11093347802849139
2023-07-07,0.7562068286196872,0.24379317138031276,-0.06768725250943908,0.06768725250943908,0.13722267709357086
2023-07-10,0.7314145973121858,0.26858540268781417,-0.02479223130750141,0.02479223130750141,0.050877305553357455
2023-07-11,0.811875698952566,0.18812430104743405,0.08046110164038012,-0.08046110164038012,0.1604442797556629
2023-07-12,0.8485424162184838,0.1514575837815162,0.03666671726591786,-0.03666671726591786,0.07296058725226454
2023-07-13,0.8807932114164796,0.1192067885835204,0.032250795197995785,-0.032250795197995785,0.06528792748421822
2023-07-14,0.9175770149897484,0.08242298501025158,0.036783803573268825,-0.036783803573268825,0.07410416238007583
2023-07-17,0.9344777198979145,0.0655222801020855,0.016900704908166087,-0.016900704908166087,0.033004049534017144
2023-07-18,0.9383023495044134,0.06169765049558662,0.003824629606498875,-0.003824629606498875,0.0072856615746512005
2023-07-19,0.95,0.050000000000000044,0.011697650495586576,-0.011697650495586576,0.023062946181434944
2023-07-20,0.95,0.050000000000000044,0.0,0.0,0.0008596019161259058
2023-07-21,0.95,0.050000000000000044,0.0,0.0,0.0005268187394930623
2023-07-24,0.95,0.050000000000000044,0.0,0.0,2.8021360932266315e-05
2023-07-25,0.9475816121867938,0.05241838781320618,-0.0024183878132061354,0.0024183878132061354,0.005603570301508917
2023-07-26,0.95,0.050000000000000044,0.0024183878132061354,-0.0024183878132061354,0.004380494338070508
2023-07-27,0.95,0.050000000000000044,0.0,0.0,7.92931327668403e-05
2023-07-28,0.95,0.050000000000000044,0.0,0.0,0.0012271438139480756
2023-07-31,0.95,0.050000000000000044,0.0,0.0,0.0004379748668371722
2023-08-01,0.95,0.050000000000000044,0.0,0.0,4.748364770330166e-05
2023-08-02,0.909888543029179,0.09011145697082101,-0.04011145697082097,0.04011145697082097,0.08151238434718547
2023-08-03,0.8669154898074264,0.1330845101925736,-0.0429730532217526,0.0429730532217526,0.08541219398596668
2023-08-04,0.8438102456134888,0.15618975438651117,-0.023105244193937557,0.023105244193937557,0.0508988737604264
2023-08-07,0.8632369888732221,0.1367630111267779,0.01942674325973326,-0.01942674325973326,0.04472058057043421
2023-08-08,0.8761647302079381,0.12383526979206194,0.01292774133471597,-0.01292774133471597,0.021497696299699692
2023-08-09,0.9039398449388755,0.09606015506112453,0.02777511473093741,-0.02777511473093741,0.05902226955797388
2023-08-10,0.9323263257511555,0.06767367424884452,0.028386480812280013,-0.028386480812280013,0.058843509968329155
2023-08-11,0.95,0.050000000000000044,0.017673674248844473,-0.017673674248844473,0.033222976425787046
2023-08-14,0.95,0.050000000000000044,0.0,0.0,0.0001633547662258164
2023-08-15,0.95,0.050000000000000044,0.0,0.0,0.0007298222114307737
2023-08-16,0.95,0.050000000000000044,0.0,0.0,0.0005336970744553651
2023-08-17,0.95,0.050000000000000044,0.0,0.0,4.65115972319019e-05
2023-08-18,0.95,0.050000000000000044,0.0,0.0,0.00032134829727303166
2023-08-21,0.95,0.050000000000000044,0.0,0.0,0.00028958100083294885
2023-08-22,0.95,0.050000000000000044,0.0,0.0,0.0018741204146555737
2023-08-23,0.95,0.050000000000000044,0.0,0.0,0.0009884822315967129
2023-08-24,0.95,0.050000000000000044,0.0,0.0,0.0012806561462773147
2023-08-25,0.9335033221800177,0.06649667781998225,-0.01649667781998221,0.01649667781998221,0.032293775029556694
